event_id,sede,start_time,end_time,total_kwh,avg_occupancy,category,duration_hours,ai_recommendation
Sogamoso_415,Sogamoso,2025-09-01 09:00:00,2025-09-01 14:00:00,264.36569947527005,62.925,Pico de Demanda Inesperado,4,"# 🚨 Pico de Demanda Inesperado

**Problema:**
Detectamos un pico de demanda inesperado durante 4 horas sin justificación.

**Impacto:**
Costó aprox **$211,493 COP** desperdiciados.

**Acción Inmediata:**
*   Revisar equipos en funcionamiento durante el horario de 9 AM a 2 PM.
*   Verificar la programación de los sistemas de climatización."
Duitama_410,Duitama,2025-09-22 14:00:00,2025-09-22 17:00:00,221.94371352411557,66.39999999999999,Pico de Demanda Inesperado,3,"# 🚨 Pico de Demanda Inesperado

**Problema:**
Detectamos un pico de demanda de energía inesperado durante 3 horas.

**Impacto:**
Costó aprox **$177,555 COP** desperdiciados.

**Acción Inmediata:**
*   Revisar equipos en uso durante el periodo indicado.
*   Ajustar la programación de encendido y apagado de los equipos."
Sogamoso_364,Sogamoso,2025-04-08 08:00:00,2025-04-08 11:00:00,217.59514526926523,75.10000000000001,Pico de Demanda Inesperado,3,"# 🚨 Pico de Demanda Inesperado

**Problema:**
Detectamos un pico de demanda inesperado entre las 8 AM y 11 AM con un 75.1% de ocupación.

**Impacto:**
Costó aprox **$174,076 COP** desperdiciados.

**Acción Inmediata:**
*   Revisar el funcionamiento de equipos eléctricos durante las horas pico.
*   Implementar un control de carga para evitar futuros picos."
Duitama_88,Duitama,2019-04-18 07:00:00,2019-04-18 10:00:00,205.44232668285196,66.6,Pico de Demanda Inesperado,2,"# 🚨 Pico de Demanda Inesperado

**Problema:**
Detectamos un pico de demanda inesperado entre las 7 AM y 10 AM.

**Impacto:**
Costó aprox **$164,354 COP** desperdiciados.

**Acción Inmediata:**
*   Revisar el funcionamiento de los equipos durante ese horario.
*   Ajustar la programación de encendido y apagado de los equipos."
Sogamoso_305,Sogamoso,2024-08-27 11:00:00,2024-08-27 17:00:00,200.16523949613253,69.8,Pico de Demanda Inesperado,3,"# 🚨 Pico de Demanda Inesperado

**Problema:**
Detectamos un pico de demanda inesperado durante 3 horas con un 69.8% de ocupación.

**Impacto:**
Costó aprox **$160,132 COP** desperdiciados.

**Acción Inmediata:**
*   Revisar el funcionamiento de los equipos eléctricos durante ese periodo.
*   Ajustar la programación de los sistemas de climatización."
Sogamoso_441,Sogamoso,2025-10-28 10:00:00,2025-10-28 11:00:00,194.0884772413982,65.6,Pico de Demanda Inesperado,2,Pending...
Duitama_74,Duitama,2019-03-27 08:00:00,2019-03-27 08:00:00,190.45548098950505,63.8,Pico de Demanda Inesperado,1,Pending...
Duitama_287,Duitama,2024-03-26 17:00:00,2024-03-26 18:00:00,189.7642371948488,44.05,Pico de Demanda Inesperado,2,Pending...
Duitama_264,Duitama,2023-09-12 11:00:00,2023-09-12 11:00:00,189.2939063654951,78.5,Pico de Demanda Inesperado,1,Pending...
Duitama_210,Duitama,2022-09-05 07:00:00,2022-09-05 10:00:00,187.52360183579,67.15,Pico de Demanda Inesperado,2,Pending...
Duitama_340,Duitama,2024-09-27 08:00:00,2024-09-27 08:00:00,183.6356839638762,85.5,Pico de Demanda Inesperado,1,Pending...
Duitama_247,Duitama,2023-06-12 07:00:00,2023-06-12 07:00:00,181.7757393205229,72.8,Pico de Demanda Inesperado,1,Pending...
Duitama_101,Duitama,2019-05-28 10:00:00,2019-05-28 10:00:00,177.89194686601118,74.8,Pico de Demanda Inesperado,1,Pending...
Duitama_307,Duitama,2024-05-07 10:00:00,2024-05-07 10:00:00,173.01048295529458,63.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_328,Sogamoso,2024-10-11 06:00:00,2024-10-11 07:00:00,172.58290947406394,55.0,Pico de Demanda Inesperado,2,Pending...
Sogamoso_321,Sogamoso,2024-09-24 11:00:00,2024-09-24 11:00:00,171.67787893879242,74.1,Pico de Demanda Inesperado,1,Pending...
